name,distanceInMeters,difficulty
"AAE HS  | 3.0 miles, 4827 meters",4827,1.1566
"Shadow Cliffs Park  | 1.9 miles, 3057 meters",3057.1,0.6187
"Shadow Cliffs Park  | 2.95 miles, 4747 meters",4746.55,0.9777775
"Shadow Cliffs Park  | 2.98 miles, 4795 meters",4794.82,1.0021
"Shadow Cliffs Park  | 3.1 miles, 5000 meters",5000,1.0325
"Shadow Mountain Park  | 2.5 miles, 4023 meters",4022.5,0.8235
"Shadow Mountain Park  | 3.1 miles, 5000 meters",5000,1.0623
"Shasta College  | 3.0 miles, 4827 meters",4827,0.96085
"Shastice Park  | 2.35 miles, 3781 meters",3781.15,0.82675
"Shollenberger Park  | 3.0 miles, 4827 meters",4827,0.97715
"Sierra College  | 3.0 miles, 4827 meters",4827,1.035749153
"Sierra Pacific HS  | 3.1 miles, 5000 meters",5000,0.976
"Silver Valley HS  | 3.0 miles, 4827 meters",4827,1.065
"Silverlakes Sports Park  | 3.0 miles, 4827 meters",4827,0.9348
"Soboba Reservation  | 2.93 miles, 4714 meters",4714.37,1.00145
"Soquel High School | 2 miles, 3218 meters",3218,0.677966102
"Soquel High School | 2.5 miles, 4023 meters",4023,0.813559322
"Soquel High School | 2.75 miles, 4425 meters",4425,0.894915254
"Soquel HS  | 2.6 miles, 4183 meters",4183.4,0.8816
"Southwest HS  | 3.0 miles, 4827 meters",4827,0.9933
"Spooner  | 12.2 miles, 19630 meters",19629.8,5.84885
"Spring Lake Park  | 2.97 miles, 4779 meters",4778.73,0.9866
"St. Michael's Prep  | 2.1 miles, 3379 meters",3378.9,0.7985
"Stanford Golf Course  | 3.1 miles, 5000 meters",5000,1.00335218
"Stanford Golf Course | 3 miles, 4827 meters",4827,0.980949153
"Stoneman Trailhead Park  | 3.0 miles, 4827 meters",4827,1.13435
"Stoneman Trailhead Park  | 3.2 miles, 5149 meters",5148.8,1.19375
"Sultana HS  | 3.0 miles, 4827 meters",4827,0.98665
"Summerville HS  | 3.1 miles, 5000 meters",5000,1.03965
"Sunbeam Lake  | 3.0 miles, 4827 meters",4827,1.0093
"Sunbeam Lake  | 3.1 miles, 5000 meters",5000,1.03225
"Sunnyvale High School | 2 miles, 3218 meters",3218,0.613559322
"Sunnyvale High School | 2.4 miles, 3862 meters",3862,0.736271186
"Talley Fields  | 2.48 miles, 4000 meters",4000,0.81525
"Temecula Valley HS  | 3.0 miles, 4827 meters",4827,0.9722
"Tennessee Valley  | 2.81 miles, 4521 meters",4521.29,0.95705
"The Lakes at El Segundo  | 3.0 miles, 4827 meters",4827,0.96645
"Tolay Ranch Regional Park  | 3.0 miles, 4827 meters",4827,1.0164
"Toro Park  | 3.0 miles, 4827 meters",4827,1.021923729
"Toro Park  | 3.1 miles, 5000 meters",5000,1.0570199
"Track  | 0.99 miles, 1600 meters",1600,0.287
"Track  | 1.99 miles, 3200 meters",3200,0.60485
"Track | 2 miles, 3218 meters",3218,0.613627119
"Track | 3 miles, 4827 meters",4827,0.930508475
"Twelve Bridges Park  | 3.1 miles, 5000 meters",5000,1.01245
"UC Santa Barbara  | 3.0 miles, 4827 meters",4827,0.9967
"UCSD Par Course  | 3.0 miles, 4827 meters",4827,1.02345
"Ukiah HS  | 3.1 miles, 5000 meters",5000,1.0572
"Vail Lake  | 3.0 miles, 4827 meters",4827,1.02635
"Valley Springs Park  | 3.1 miles, 5000 meters",5000,1.06935
"Van Cortlandt Park, NY  | 2.5 miles, 4023 meters",4022.5,0.8557
"Vasona Park | 1.9 miles, 3057 meters",3057,0.618305085
"Vasona Park | 2 miles, 3218 meters",3218,0.654237288
"Vasona Park | 2.15 miles, 3459 meters",3459,0.706949153
"Vasona Park | 2.175 miles, 3500 meters",3500,0.691207627
"Vasona Park | 2.85 miles, 4586 meters",4586,0.874322034
"Veteran's Memorial Pk, NV  | 3.1 miles, 5000 meters",5000,1.06175
"Victor Valley College  | 3.0 miles, 4827 meters",4827,1.00375
"Wakemed Park, NC  | 3.1 miles, 5000 meters",5000,1.0077
"West HS, Torrance  | 3.0 miles, 4827 meters",4827,0.9621
"West Valley HS  | 3.0 miles, 4827 meters",4827,1.0452
"West Wetlands Park  | 3.1 miles, 5000 meters",5000,1.0432
"Westmont High School | 2.5 miles, 4023 meters",4023,0.766949153
"Westmont High School | 3.1 miles, 5000 meters",5000,1.037595727
"Westmoor HS  | 2.33 miles, 3749 meters",3748.97,0.7406
"Westmoor HS  | 2.4 miles, 3862 meters",3861.6,0.78115
"Wild Wings Golf Course  | 3.1 miles, 5000 meters",5000,1.0578
"Wildcat Ranch  | 3.1 miles, 5000 meters",5000,1.0431
"Willow Glen High | 2.56 miles, 4119 meters",4119,0.832997966
"Willow Hill Reservoir  | 2.1 miles, 3379 meters",3378.9,0.69235
"Willow Hill Reservoir  | 3.1 miles, 5000 meters",5000,1.04195
"Wilson Park  | 3.2 miles, 5149 meters",5148.8,1.03295
"Woodland HS  | 2.0 miles, 3218 meters",3218,0.6416
"Woodland HS  | 3.1 miles, 5000 meters",5000,1.18945
"Woodward Park  | 2.0 miles, 3218 meters",3218,0.6452
"Woodward Park  | 3.1 miles, 5000 meters",5000,1.014777147
"Woodward Park | 2.18 miles, 3500 meters",3500,0.671013684
"Woodward Reservoir Park  | 3.1 miles, 5000 meters",5000,1.0313
"Woodward Reservoir Park  | 3.75 miles, 6034 meters",6033.75,1.26605
"Xavier College Prep  | 3.0 miles, 4827 meters",4827,0.97255
"Yorba Regional Park  | 3.0 miles, 4827 meters",4827,0.94955
"York School | 1.95 miles, 3138 meters",3138,0.723813559
"York School | 2 miles, 3218 meters",3218,0.729830509
"Yucaipa Community Park  | 3.0 miles, 4827 meters",4827,0.98185
